Police District,Resolution,Number of Records
Tenderloin,Cite or Arrest Adult,437
Tenderloin,Cite or Arrest Juvenile,13
Tenderloin,Exceptional Adult,4
Tenderloin,Open or Active,680
Tenderloin,Unfounded,8
Taraval,Cite or Arrest Adult,100
Taraval,Cite or Arrest Juvenile,6
Taraval,Exceptional Adult,2
Taraval,Open or Active,767
Taraval,Unfounded,4
Southern,Cite or Arrest Adult,257
Southern,Cite or Arrest Juvenile,5
Southern,Open or Active,1174
Southern,Unfounded,15
Richmond,Cite or Arrest Adult,123
Richmond,Cite or Arrest Juvenile,2
Richmond,Exceptional Adult,2
Richmond,Exceptional Juvenile,2
Richmond,Open or Active,612
Richmond,Unfounded,9
Park,Cite or Arrest Adult,125
Park,Cite or Arrest Juvenile,4
Park,Open or Active,488
Park,Unfounded,6
Out of SF,Cite or Arrest Adult,27
Out of SF,Open or Active,256
Out of SF,Unfounded,10
Northern,Cite or Arrest Adult,211
Northern,Cite or Arrest Juvenile,13
Northern,Open or Active,1357
Northern,Unfounded,7
Mission,Cite or Arrest Adult,514
Mission,Cite or Arrest Juvenile,9
Mission,Open or Active,1001
Mission,Unfounded,5
Ingleside,Cite or Arrest Adult,175
Ingleside,Cite or Arrest Juvenile,6
Ingleside,Exceptional Adult,6
Ingleside,Open or Active,719
Ingleside,Unfounded,6
Central,Cite or Arrest Adult,543
Central,Cite or Arrest Juvenile,21
Central,Exceptional Adult,2
Central,Open or Active,1608
Central,Unfounded,3
Bayview,Cite or Arrest Adult,198
Bayview,Cite or Arrest Juvenile,13
Bayview,Exceptional Adult,2
Bayview,Open or Active,717
Bayview,Unfounded,4
